INFO - Input manager thread started
DEBUG - x, y, index, #cells, 31, 16, 1311, 4000
DEBUG - x, y, index, #cells, 62, 37, 3022, 4000
DEBUG - x, y, index, #cells, 62, 36, 2942, 4000
DEBUG - x, y, index, #cells, 63, 36, 2943, 4000
DEBUG - x, y, index, #cells, 63, 35, 2863, 4000
DEBUG - x, y, index, #cells, 63, 34, 2783, 4000
DEBUG - x, y, index, #cells, 63, 33, 2703, 4000
DEBUG - x, y, index, #cells, 63, 32, 2623, 4000
DEBUG - x, y, index, #cells, 63, 31, 2543, 4000
DEBUG - x, y, index, #cells, 63, 30, 2463, 4000
DEBUG - x, y, index, #cells, 63, 29, 2383, 4000
DEBUG - x, y, index, #cells, 63, 28, 2303, 4000
DEBUG - x, y, index, #cells, 63, 27, 2223, 4000
DEBUG - x, y, index, #cells, 63, 26, 2143, 4000
DEBUG - x, y, index, #cells, 63, 25, 2063, 4000
DEBUG - x, y, index, #cells, 63, 24, 1983, 4000
DEBUG - x, y, index, #cells, 63, 23, 1903, 4000
DEBUG - x, y, index, #cells, 63, 22, 1823, 4000
DEBUG - x, y, index, #cells, 63, 21, 1743, 4000
DEBUG - x, y, index, #cells, 63, 20, 1663, 4000
DEBUG - x, y, index, #cells, 63, 19, 1583, 4000
DEBUG - x, y, index, #cells, 63, 18, 1503, 4000
DEBUG - x, y, index, #cells, 63, 17, 1423, 4000
DEBUG - x, y, index, #cells, 63, 16, 1343, 4000
DEBUG - x, y, index, #cells, 63, 15, 1263, 4000
DEBUG - x, y, index, #cells, 63, 14, 1183, 4000
DEBUG - x, y, index, #cells, 63, 13, 1103, 4000
DEBUG - x, y, index, #cells, 63, 12, 1023, 4000
DEBUG - x, y, index, #cells, 63, 11, 943, 4000
DEBUG - x, y, index, #cells, 63, 10, 863, 4000
DEBUG - x, y, index, #cells, 63, 9, 783, 4000
DEBUG - x, y, index, #cells, 63, 8, 703, 4000
DEBUG - x, y, index, #cells, 63, 7, 623, 4000
DEBUG - x, y, index, #cells, 63, 6, 543, 4000
DEBUG - x, y, index, #cells, 63, 5, 463, 4000
DEBUG - x, y, index, #cells, 63, 4, 383, 4000
DEBUG - x, y, index, #cells, 63, 3, 303, 4000
DEBUG - x, y, index, #cells, 63, 2, 223, 4000
DEBUG - x, y, index, #cells, 62, 2, 222, 4000
DEBUG - x, y, index, #cells, 61, 2, 221, 4000
DEBUG - x, y, index, #cells, 60, 2, 220, 4000
DEBUG - x, y, index, #cells, 59, 2, 219, 4000
DEBUG - x, y, index, #cells, 58, 2, 218, 4000
DEBUG - x, y, index, #cells, 57, 2, 217, 4000
DEBUG - x, y, index, #cells, 56, 2, 216, 4000
DEBUG - x, y, index, #cells, 55, 2, 215, 4000
DEBUG - x, y, index, #cells, 54, 2, 214, 4000
DEBUG - x, y, index, #cells, 53, 2, 213, 4000
DEBUG - x, y, index, #cells, 52, 2, 212, 4000
DEBUG - x, y, index, #cells, 51, 2, 211, 4000
DEBUG - x, y, index, #cells, 50, 2, 210, 4000
DEBUG - x, y, index, #cells, 49, 2, 209, 4000
DEBUG - x, y, index, #cells, 49, 2, 209, 4000
DEBUG - x, y, index, #cells, 49, 2, 209, 4000
DEBUG - x, y, index, #cells, 49, 2, 209, 4000
DEBUG - x, y, index, #cells, 50, 3, 290, 4000
DEBUG - x, y, index, #cells, 50, 4, 370, 4000
DEBUG - x, y, index, #cells, 50, 5, 450, 4000
DEBUG - x, y, index, #cells, 50, 6, 530, 4000
DEBUG - x, y, index, #cells, 50, 7, 610, 4000
DEBUG - x, y, index, #cells, 50, 8, 690, 4000
DEBUG - x, y, index, #cells, 50, 9, 770, 4000
DEBUG - x, y, index, #cells, 50, 10, 850, 4000
DEBUG - x, y, index, #cells, 50, 11, 930, 4000
DEBUG - x, y, index, #cells, 49, 11, 929, 4000
DEBUG - x, y, index, #cells, 50, 10, 850, 4000
DEBUG - x, y, index, #cells, 49, 10, 849, 4000
DEBUG - x, y, index, #cells, 48, 10, 848, 4000
DEBUG - x, y, index, #cells, 47, 10, 847, 4000
DEBUG - x, y, index, #cells, 46, 10, 846, 4000
DEBUG - x, y, index, #cells, 45, 10, 845, 4000
DEBUG - x, y, index, #cells, 44, 10, 844, 4000
DEBUG - x, y, index, #cells, 43, 10, 843, 4000
DEBUG - x, y, index, #cells, 42, 10, 842, 4000
DEBUG - x, y, index, #cells, 41, 10, 841, 4000
DEBUG - x, y, index, #cells, 40, 10, 840, 4000
DEBUG - x, y, index, #cells, 39, 10, 839, 4000
DEBUG - x, y, index, #cells, 39, 11, 919, 4000
DEBUG - x, y, index, #cells, 38, 10, 838, 4000
DEBUG - x, y, index, #cells, 38, 11, 918, 4000
DEBUG - x, y, index, #cells, 38, 12, 998, 4000
DEBUG - x, y, index, #cells, 38, 13, 1078, 4000
DEBUG - x, y, index, #cells, 38, 14, 1158, 4000
DEBUG - x, y, index, #cells, 38, 15, 1238, 4000
DEBUG - x, y, index, #cells, 38, 16, 1318, 4000
DEBUG - x, y, index, #cells, 38, 17, 1398, 4000
DEBUG - x, y, index, #cells, 38, 18, 1478, 4000
DEBUG - x, y, index, #cells, 38, 19, 1558, 4000
DEBUG - x, y, index, #cells, 38, 20, 1638, 4000
DEBUG - x, y, index, #cells, 38, 21, 1718, 4000
DEBUG - x, y, index, #cells, 37, 21, 1717, 4000
